PerchType5,PerchH5,Water5,Crops5,CropType5,Water11,Crops11,CropType11,Wire100,WoodyPerches100,NonnatPerches100,Ditches100,DitchWavg100,GrassWavg100,GrassHavg100,Wire250,WoodyPerches250,NonnatPerches250,Ditches250,DitchWavg250,GrassWavg250,GrassHavg250
stubble,0.22,1,1,rice,1,1,rice,0,0,0,2,2.35,4.1,0.11,410,14,0,3,2.566666667,4.533333333,0.14
stubble,0.75,0,1,soy,0,1,soy,0,51,0,1,18,3,1.1,417,101,5,4,6.9,3.35,0.55
stubble,0.15,0,1,cotton,0,1,cotton,0,0,0,0,0,0,0,420,39,8,2,2.625,1,0.3
stubble,0.15,0,1,soy,0,1,soy,0,0,0,0,0,0,0,430,50,10,3,9.083333333,7,0.583333333
stubble,0.3,0,1,soy,0,1,soy,0,0,0,0,0,0,0,430,3,0,2,2.3,4.85,0.475
stubble,0.4,0,1,cotton,0,1,cotton,130,51,0,1,10,5,1.3,440,16,3.5,1,10,5,1.3
stubble,0.05,0,1,soy,0,1,soy,0,0,0,0,0,0,0,450,101,3,1,3.25,4,0.3
stubble,0.4,0,1,rice,0,1,rice,190,1,2,1,8,4,0.05,450,6,7,2,8,5.5,0.275
anthropogenic,4,0,1,soy,0,1,soy,0,0,1,0,0,0,0,450,2,5,2,7.25,4,0.375
wire,6,0,1,rice,0,1,rice,260,1,7,1,1.25,25,0.25,450,2,22,1,1.25,25,0.25
stubble,0.2,0,1,rice,0,1,rice,50,0,2,1,10,10,0.5,460,3,8,3,6.083333333,5.333333333,0.5
stubble,0.2,0,1,cotton,0,1,cotton,0,0,0,0,0,0,0,460,48,8,2,2.625,1,0.3
stubble,0.2,0,1,rice,0,1,rice,0,0,0,0,0,0,0,460,32,0,2,5.9,5.3,0.375
stubble,0.25,0,1,soy,0,1,soy,180,0,2,2,2.1,2.85,0.25,460,0,7,2,2.1,2.85,0.25
stubble,0.43,0,1,rice,1,1,rice,0,0,0,0,0,0,0,460,50,0,2,5.75,5.45,0.375
natural,0.76,0,1,soy,1,1,soy,180,0,8,2,3.55,3.9,0.6,470,5,41,2,3.55,3.9,0.6
natural,3,0,0,none,0,1,rice,0,14,0,1,6,10,0.5,470,101,10,1,6,10,0.5
stubble,0.05,0,1,soy,0,1,soy,150,0,3,2,1.775,5,0.25,480,0,11,2,1.775,5,0.25
stubble,0.1,0,1,fallow,0,1,fallow,50,0,1,2,1.25,0.5,0.25,480,101,5,3,1.416666667,0.75,0.2
stubble,0.15,0,1,cotton,0,1,cotton,180,7,2,1,0.75,0.75,0.2,480,50,18,1,0.75,0.75,0.2
stubble,0.3,0,1,soy,0,1,soy,50,0,0,2,4.125,3,0.5,480,3,7,3,6.083333333,5.333333333,0.5
anthropogenic,12,0,0,none,0,1,soy,100,8,101,1,0.5,2,0.05,480,9,101,3,1.1,1.8,0.19
stubble,0.25,1,1,rice,1,1,rice,185,51,3,1,12,2.25,0.2,485,101,12,1,12,2.25,0.2
stubble,0.25,0,1,rice,0,1,rice,190,3,3,2,5,3,0.25,490,6,3,2,5,3,0.25
stubble,0.3,0,1,rice,0,1,rice,180,0,2,2,3.55,3.9,0.6,490,0,2,2,3.55,3.9,0.6
stubble,0.4,0,1,rice,0,1,rice,190,4,0,2,2.95,1.85,0.175,490,8,0,2,2.95,1.85,0.175
